races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,ahead
11,0,1,0,0,2,0,0,55,4,2,25,0,208,1
21,0,0,0,0,1,0,0,44,2,1,0,0,372,1
17,0,0,0,1,1,0,0,28,26,3,2,0,254,0
22,0,1,0,1,5,0,1,29,27,2,25,0,286,1
14,1,3,0,3,3,0,0,1,0,4,61,1,69,1
16,0,7,2,9,1,0,0,2,35,3,157,0,43,0
16,1,6,2,4,4,0,3,9,3,1,145,0,63,0
15,2,5,0,0,2,0,0,17,2,1,157,2,67,1
1,0,0,0,0,0,0,0,10,0,0,2,0,19,1
1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2,0,0,0,0,1,0,0,14,0,0,13,0,28,0
4,0,0,0,0,0,0,0,11,0,1,2,0,69,0
3,0,0,0,0,2,0,0,9,0,1,0,0,76,1
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
1,0,0,0,0,0,0,0,11,0,0,2,0,20,1
3,1,1,0,0,1,0,0,11,0,1,25,1,37,0
4,0,0,0,0,1,0,0,24,0,0,23,0,57,1
5,0,0,0,0,1,0,0,5,0,0,0,0,96,1
6,0,0,0,0,0,0,0,39,0,0,15,0,105,0
1,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,0,0,0,0,0,0,0,0,0,0,0,0,16,1
1,0,0,0,0,0,0,0,0,0,0,0,0,17,1
17,0,1,0,0,2,0,0,62,11,1,40,0,258,1
19,1,3,1,3,0,0,0,12,14,3,144,0,109,0
18,1,5,1,5,2,0,1,21,10,1,183,0,101,0
17,0,1,1,1,2,0,0,65,1,1,24,0,273,0
16,0,0,0,0,4,0,0,64,0,3,22,0,263,1
1,0,0,0,0,1,0,0,13,0,0,4,0,21,0
3,0,0,0,0,0,0,0,5,2,1,0,0,46,1
15,3,7,1,3,2,2,2,12,8,0,173,2,76,1
14,0,0,0,0,1,0,0,50,13,1,50,0,171,1
4,0,1,0,1,0,0,0,1,0,1,18,0,15,1
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
4,0,0,0,0,0,0,0,14,0,0,19,0,49,0
2,0,0,0,0,0,0,0,0,0,0,0,0,30,1
2,0,0,0,0,0,0,0,13,0,0,4,0,33,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,1
9,0,0,0,0,0,0,0,6,4,1,8,0,134,0
7,0,0,0,0,0,0,0,0,2,1,8,0,77,0
8,0,1,0,1,1,0,0,2,1,3,21,0,40,0
8,0,0,0,1,2,0,0,0,6,1,22,0,45,0
9,4,6,1,7,1,1,1,6,12,0,158,4,21,1
10,2,5,2,6,2,0,1,4,16,0,107,1,26,1
10,2,5,1,3,0,0,0,12,9,0,126,2,35,1
10,2,6,4,5,1,0,0,13,7,0,151,0,36,0
9,0,3,0,0,3,0,1,13,0,1,60,0,65,0
11,0,2,3,5,1,0,0,6,3,1,48,0,58,0
12,3,6,2,3,3,0,1,11,6,1,143,2,56,1
10,1,2,0,0,0,0,0,20,4,2,77,1,66,1
11,0,0,0,0,0,0,0,61,0,0,39,0,186,0
11,0,0,0,0,2,0,0,34,0,3,21,0,147,0
12,0,0,0,0,2,0,0,80,0,1,32,0,215,0
12,0,0,0,0,2,0,0,41,0,0,3,0,246,0
15,0,0,0,0,3,0,0,131,0,0,28,0,307,1
2,0,0,0,0,0,0,0,19,0,0,1,0,41,1
15,0,2,0,0,3,0,0,29,1,3,48,0,218,1
16,1,2,0,0,2,1,1,24,15,2,76,1,158,1
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
7,0,0,0,0,1,0,0,57,0,0,10,0,149,0
5,0,0,0,0,2,0,0,14,0,0,3,0,71,1
7,0,0,0,0,0,0,0,36,0,0,6,0,125,0
5,0,1,0,0,2,0,1,8,0,0,27,0,35,0
1,0,0,0,0,0,0,0,6,0,0,12,0,10,0
1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
3,0,0,0,0,0,0,0,9,0,0,2,0,56,1
1,0,0,0,0,1,0,0,11,0,0,0,0,22,0
12,0,0,0,0,3,0,0,28,0,3,28,0,182,1
1,0,0,0,0,0,0,0,7,0,0,1,0,17,1
2,0,0,0,0,0,0,0,9,0,0,6,0,34,1
2,0,0,0,0,0,0,0,6,0,0,0,0,37,1
3,0,0,0,0,1,0,0,23,0,0,6,0,66,0
2,0,0,0,0,1,0,0,12,0,1,0,0,47,1
6,0,0,0,0,4,0,0,16,0,0,14,0,79,0
7,0,0,0,0,0,0,0,7,5,0,16,0,82,0
7,0,0,0,0,2,0,0,2,4,1,13,0,50,1
9,0,1,0,0,0,0,0,14,2,0,53,0,83,0
10,0,1,0,1,0,0,0,22,3,1,74,0,73,0
8,0,0,0,0,0,0,0,7,1,1,40,0,54,0
1,0,0,0,0,0,0,0,0,0,0,0,0,9,1
9,0,0,0,0,1,0,0,41,0,1,9,0,184,0
10,0,0,0,0,1,0,0,52,0,1,8,0,220,1
7,0,0,0,0,0,0,0,18,0,0,15,0,86,0
14,0,0,0,0,6,0,0,46,0,4,48,0,194,0
18,1,3,1,4,5,0,1,13,38,1,136,1,79,0
